,MOTU1,MOTU10,MOTU11,MOTU12,MOTU13,MOTU14,MOTU15,MOTU16,MOTU17,MOTU18,MOTU19,MOTU2,MOTU20,MOTU21,MOTU22,MOTU23,MOTU24,MOTU3,MOTU4,MOTU5,MOTU6,MOTU7,MOTU8,MOTU9
KEN20151449_mtkenyaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KEN20151471_mtkenyaKEN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN20151483_mtkenyaKEN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN20151663_mtkenyaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KEN20151691_mtkenyaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KEN20151692_mtkenyaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KEN20151878_mtkenyaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KEN20151902_mtkenyaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KEN20160011_shimbahillsKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KEN2018010027_loitaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KEN2018010045_loitaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KEN2018010060_loitaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KEN2018010061_loitaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
